Cidade;Unidade;Ano;Mês;Tipo de Copo;Quantidade;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Janeiro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Fevereiro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Março;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Abril;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Maio;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Junho;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;2;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Julho;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Agosto;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Setembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Outubro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Novembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Dezembro;COPO PLASTICO DESCARTAVEL PARA AGUA  200 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Janeiro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Fevereiro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Março;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Abril;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Maio;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Junho;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Julho;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Agosto;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Setembro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Outubro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Novembro;COPO PLASTICO DESCARTAVEL PARA CAFÉ 50 ML PACOTE COM 100;0;;
