Cidade;Unidade;Ano;Mês;Quantidade;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Janeiro;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Fevereiro;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Março;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Abril;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Maio;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Junho;1;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Julho;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Agosto;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Setembro;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Outubro;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Novembro;0;;
Uberlândia;Assessoria de Gesto Administrativa da Pró-Reitoria de Graduaço;2023;Dezembro;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Janeiro;15;;
Monte Carmelo;Campus Monte Carmelo;2023;Fevereiro;20;;
Monte Carmelo;Campus Monte Carmelo;2023;Março;10;;
Monte Carmelo;Campus Monte Carmelo;2023;Abril;15;;
Monte Carmelo;Campus Monte Carmelo;2023;Maio;20;;
Monte Carmelo;Campus Monte Carmelo;2023;Junho;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Julho;15;;
Monte Carmelo;Campus Monte Carmelo;2023;Agosto;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Setembro;18;;
Monte Carmelo;Campus Monte Carmelo;2023;Outubro;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Novembro;0;;
Monte Carmelo;Campus Monte Carmelo;2023;Dezembro;0;;
Patos de Minas;Campus Patos de Minas;2023;Janeiro;0;;
Patos de Minas;Campus Patos de Minas;2023;Fevereiro;0;;
Patos de Minas;Campus Patos de Minas;2023;Março;0;;
Patos de Minas;Campus Patos de Minas;2023;Abril;0;;
Patos de Minas;Campus Patos de Minas;2023;Maio;0;;
Patos de Minas;Campus Patos de Minas;2023;Junho;0;;
Patos de Minas;Campus Patos de Minas;2023;Julho;0;;
Patos de Minas;Campus Patos de Minas;2023;Agosto;0;;
Patos de Minas;Campus Patos de Minas;2023;Setembro;0;;
Patos de Minas;Campus Patos de Minas;2023;Outubro;0;;
Patos de Minas;Campus Patos de Minas;2023;Novembro;4;;
