Cidade;Unidade;Ano;Mês;Quantidade
Uberlândia;Assessoria de Gestão Administrativa da Pró-Reitoria de Graduação;2023;Janeiro;0
Uberlândia;Assessoria de Gestão Administrativa da Pró-Reitoria de Graduação;2023;Fevereiro;0
Uberlândia;Assessoria de Gestão Administrativa da Pró-Reitoria de Graduação;2023;Março;0
Uberlândia;Assessoria de Gestão Administrativa da Pró-Reitoria de Graduação;2023;Abril;0
Uberlândia;Assessoria de Gestão Administrativa da Pró-Reitoria de Graduação;2023;Maio;0
Uberlândia;Assessoria de Gestão Administrativa da Pró-Reitoria de Graduação;2023;Junho;0
Uberlândia;Assessoria de Gestão Administrativa da Pró-Reitoria de Graduação;2023;Julho;0
Uberlândia;Assessoria de Gestão Administrativa da Pró-Reitoria de Graduação;2023;Agosto;0
Uberlândia;Assessoria de Gestão Administrativa da Pró-Reitoria de Graduação;2023;Setembro;0
Uberlândia;Assessoria de Gestão Administrativa da Pró-Reitoria de Graduação;2023;Outubro;0
Uberlândia;Assessoria de Gestão Administrativa da Pró-Reitoria de Graduação;2023;Novembro;0
Uberlândia;Assessoria de Gestão Administrativa da Pró-Reitoria de Graduação;2023;Dezembro;0
Uberlândia;Biblioteca Central Santa Mônica;2023;Janeiro;0
Uberlândia;Biblioteca Central Santa Mônica;2023;Fevereiro;0
Uberlândia;Biblioteca Central Santa Mônica;2023;Março;0
Uberlândia;Biblioteca Central Santa Mônica;2023;Abril;0
Uberlândia;Biblioteca Central Santa Mônica;2023;Maio;0
Uberlândia;Biblioteca Central Santa Mônica;2023;Junho;0
Uberlândia;Biblioteca Central Santa Mônica;2023;Julho;0
Uberlândia;Biblioteca Central Santa Mônica;2023;Agosto;0
Uberlândia;Biblioteca Central Santa Mônica;2023;Setembro;0
Uberlândia;Biblioteca Central Santa Mônica;2023;Outubro;0
Uberlândia;Biblioteca Central Santa Mônica;2023;Novembro;0
Uberlândia;Biblioteca Central Santa Mônica;2023;Dezembro;0
Monte Carmelo;Campus Monte Carmelo;2023;Janeiro;0
Monte Carmelo;Campus Monte Carmelo;2023;Fevereiro;1
Monte Carmelo;Campus Monte Carmelo;2023;Março;0
Monte Carmelo;Campus Monte Carmelo;2023;Abril;0
Monte Carmelo;Campus Monte Carmelo;2023;Maio;2
Monte Carmelo;Campus Monte Carmelo;2023;Junho;0
Monte Carmelo;Campus Monte Carmelo;2023;Julho;0
Monte Carmelo;Campus Monte Carmelo;2023;Agosto;0
Monte Carmelo;Campus Monte Carmelo;2023;Setembro;3
Monte Carmelo;Campus Monte Carmelo;2023;Outubro;0
Monte Carmelo;Campus Monte Carmelo;2023;Novembro;0
Monte Carmelo;Campus Monte Carmelo;2023;Dezembro;0
Patos de Minas;Campus Patos de Minas;2023;Janeiro;0
Patos de Minas;Campus Patos de Minas;2023;Fevereiro;0
Patos de Minas;Campus Patos de Minas;2023;Março;0
Patos de Minas;Campus Patos de Minas;2023;Abril;2
Patos de Minas;Campus Patos de Minas;2023;Maio;0
Patos de Minas;Campus Patos de Minas;2023;Junho;0
Patos de Minas;Campus Patos de Minas;2023;Julho;0
Patos de Minas;Campus Patos de Minas;2023;Agosto;0
Patos de Minas;Campus Patos de Minas;2023;Setembro;0
Patos de Minas;Campus Patos de Minas;2023;Outubro;0
Patos de Minas;Campus Patos de Minas;2023;Novembro;0
Patos de Minas;Campus Patos de Minas;2023;Dezembro;0
Ituiutaba;Campus Pontal;2023;Janeiro;4
Ituiutaba;Campus Pontal;2023;Fevereiro;0
Ituiutaba;Campus Pontal;2023;Março;0
Ituiutaba;Campus Pontal;2023;Abril;3
Ituiutaba;Campus Pontal;2023;Maio;0
Ituiutaba;Campus Pontal;2023;Junho;4
Ituiutaba;Campus Pontal;2023;Julho;0
Ituiutaba;Campus Pontal;2023;Agosto;0
Ituiutaba;Campus Pontal;2023;Setembro;0
Ituiutaba;Campus Pontal;2023;Outubro;2
Ituiutaba;Campus Pontal;2023;Novembro;0
