Cidade;Unidade;Tipo de Material;Ano;Mes;Pacote (100 un.)
Uberlândia;Assistência Judiciária;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Biblioteca Setorial Umuarama;Copo Descartável 200 ml;2022;Janeiro;0
Monte Carmelo;Campus Monte Carmelo;Copo Descartável 200 ml;2022;Janeiro;0
Ituiutaba;Campus Pontal;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Central de Línguas;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Centro de Documentação e Pesquisa em História;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Centro de Psicologia;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Comissão Permanente de Licitações;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Comissão Permanente de Sindicância e Inquérito Administrativo;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Coordenação do Curso de Graduação em Agronomia - Monte Carmelo;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Coordenação do Curso de Graduação em Ciências Sociais;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Coordenação do Curso de Graduação em Dança;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Coordenação do Curso de Graduação em Enfermagem;Copo Descartável 200 ml;2022;Janeiro;5
Uberlândia;Coordenação do Curso de Graduação em Engenharia de Alimentos;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Coordenação do Curso de Graduação em Geografia;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Coordenação do Curso de Graduação em Medicina;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Coordenação do Curso de Graduação em Nutrição;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Coordenação do Curso de Graduação em Teatro;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Coordenação do Programa de Pós-Graduação em Geografia;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Coordenação do Programa de Pós-Graduação em Psicologia;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Coordenação do Programa de Residência em Área Profis. da Saúde Multiprofissional e Uniprofissional;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Curso de Letras;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Departamento de Cirurgia;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Departamento de Clínica Médica;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Diretoria de Administração de Materiais;Copo Descartável 200 ml;2022;Janeiro;25
Uberlândia;Diretoria de Administração de Pessoal;Copo Descartável 200 ml;2022;Janeiro;0
Uberlândia;Diretoria de Administração e Controle Acadêmico;Copo Descartável 200 ml;2022;Janeiro;0
