Cidade,Campus/Unidade,Mês,Ano,Quantidade em m³
Ituiutaba,Centro,Janeiro,2022,0
Ituiutaba,FACIP,Janeiro,2022,245
Monte Carmelo,Araras,Janeiro,2022,1254
Monte Carmelo,Boa Vista,Janeiro,2022,13
Monte Carmelo,Cidade Jardim,Janeiro,2022,0
Monte Carmelo,Mundo Novo,Janeiro,2022,0
Monte Carmelo,Vila Nova,Janeiro,2022,0
Patos de Minas,Patos de Minas,Janeiro,2022,81
Uberlândia,Educação Física,Janeiro,2022,363
Uberlândia,Gloria,Janeiro,2022,585
Uberlândia,Moradia,Janeiro,2022,260
Uberlândia,Santa Mônica,Janeiro,2022,4972
Uberlândia,Umuarama,Janeiro,2022,5082
Uberlândia,Unidades Externas,Janeiro,2022,383
Ituiutaba,Centro,Fevereiro,2022,0
Ituiutaba,FACIP,Fevereiro,2022,330
Monte Carmelo,Araras,Fevereiro,2022,855
Monte Carmelo,Boa Vista,Fevereiro,2022,8
Monte Carmelo,Cidade Jardim,Fevereiro,2022,0
Monte Carmelo,Mundo Novo,Fevereiro,2022,0
Monte Carmelo,Vila Nova,Fevereiro,2022,0
Patos de Minas,Patos de Minas,Fevereiro,2022,70
Uberlândia,Educação Física,Fevereiro,2022,501
Uberlândia,Gloria,Fevereiro,2022,861
Uberlândia,Moradia,Fevereiro,2022,260
Uberlândia,Santa Mônica,Fevereiro,2022,4879
Uberlândia,Umuarama,Fevereiro,2022,4612
Uberlândia,Unidades Externas,Fevereiro,2022,430
Ituiutaba,Centro,Março,2022,0
Ituiutaba,FACIP,Março,2022,573
Monte Carmelo,Araras,Março,2022,669
Monte Carmelo,Boa Vista,Março,2022,7
Monte Carmelo,Cidade Jardim,Março,2022,0
Monte Carmelo,Mundo Novo,Março,2022,0
Monte Carmelo,Vila Nova,Março,2022,0
Patos de Minas,Patos de Minas,Março,2022,83
Uberlândia,Educação Física,Março,2022,521
Uberlândia,Gloria,Março,2022,771
Uberlândia,Moradia,Março,2022,260
Uberlândia,Santa Mônica,Março,2022,6228
Uberlândia,Umuarama,Março,2022,5023
Uberlândia,Unidades Externas,Março,2022,394
Ituiutaba,Centro,Abril,2022,0
Ituiutaba,FACIP,Abril,2022,472
Monte Carmelo,Araras,Abril,2022,1175
Monte Carmelo,Boa Vista,Abril,2022,13
Monte Carmelo,Cidade Jardim,Abril,2022,0
Monte Carmelo,Mundo Novo,Abril,2022,0
Monte Carmelo,Vila Nova,Abril,2022,0
Patos de Minas,Patos de Minas,Abril,2022,80
Uberlândia,Educação Física,Abril,2022,1041
Uberlândia,Gloria,Abril,2022,1069
Uberlândia,Moradia,Abril,2022,260
Uberlândia,Santa Mônica,Abril,2022,7207
Uberlândia,Umuarama,Abril,2022,5876
Uberlândia,Unidades Externas,Abril,2022,413
Ituiutaba,Centro,Maio,2022,0
Ituiutaba,FACIP,Maio,2022,715
Monte Carmelo,Araras,Maio,2022,1270
Monte Carmelo,Boa Vista,Maio,2022,10
Monte Carmelo,Cidade Jardim,Maio,2022,0
